,Star_names,Distance,Gravity
0,Sun,1.5813e-05,274.2691614595739
1,Sirius,8.6,196.971799550325
2,Canopus,Out of Range,Out of Range
3,Alpha Centauri,4.4,209.51116500384123
4,Arcturus,37.0,Out of Range
5,Vega,25.0,Out of Range
6,Capella,43.0,Out of Range
7,Rigel,Out of Range,Out of Range
8,Procyon,11.4,Out of Range
9,Betelgeuse,Out of Range,Out of Range
10,Achernar,Out of Range,Out of Range
11,Hadar,Out of Range,Out of Range
12,Altair,17.0,152.37175636642996
13,Acrux,Out of Range,Out of Range
14,Aldebaran,65.0,Out of Range
15,Antares,Out of Range,Out of Range
16,Spica,Out of Range,Out of Range
17,Pollux,34.0,Out of Range
18,Fomalhaut,25.0,160.8368539423427
19,Deneb,Out of Range,Out of Range
20,Mimosa,Out of Range,Out of Range
21,Regulus,77.0,Out of Range
22,Adhara,Out of Range,Out of Range
23,Shaula,Out of Range,Out of Range
24,Castor,52.0,Out of Range
25,Gacrux,88.0,Out of Range
26,Bellatrix,Out of Range,Out of Range
27,Elnath,Out of Range,Out of Range
28,Miaplacidus,Out of Range,Out of Range
29,Alnilam,Out of Range,Out of Range
30,Gamma Velorum,Out of Range,Out of Range
31,Alnair,Out of Range,Out of Range
32,Alioth,81.0,Out of Range
33,Alnitak,Out of Range,Out of Range
34,Dubhe,Out of Range,Out of Range
35,Mirfak,Out of Range,Out of Range
36,Wezen,Out of Range,Out of Range
37,Sargas,Out of Range,Out of Range
38,Kaus Australis,Out of Range,Out of Range
39,Avior,Out of Range,Out of Range
40,Alkaid,Out of Range,Out of Range
41,Menkalinan,81.0,Out of Range
42,Atria,Out of Range,Out of Range
43,Alhena,Out of Range,Out of Range
44,Peacock,Out of Range,Out of Range
45,Alsephina[2],80.0,Out of Range
46,Mirzam,Out of Range,Out of Range
47,Polaris,Out of Range,Out of Range
48,Alphard,Out of Range,Out of Range
49,Scheat,Out of Range,Out of Range
50,Almaaz,Out of Range,Out of Range
51,Rasalgethi,Out of Range,Out of Range
52,Tau Ceti,11.9,269.2996711047934
53,Delta Pavonis,19.92,182.61269753187165
54,Ran,10.48,Out of Range
55,V382 Carinae,Out of Range,Out of Range
56,Eta Carinae,Out of Range,Out of Range
57,Delta Cephei,Out of Range,Out of Range
58,Mu Cephei,Out of Range,Out of Range
59,Titawin,44.25,159.02202111653529
60,Rho Cassiopeiae,Out of Range,Out of Range
61,P Cygni,Out of Range,Out of Range
62,VV Cephei,Out of Range,Out of Range
63,61 Cygni,11.41,Out of Range
64,R Doradus,Out of Range,Out of Range
65,Polaris Australis,Out of Range,Out of Range
66,R Coronae Borealis,Out of Range,Out of Range
67,54 Piscium,36.1,235.9037604224493
68,Mira,Out of Range,Out of Range
69,RW Cephei,Out of Range,Out of Range
70,Lacaille 8760,12.87,Out of Range
71,V838 Monocerotis,Out of Range,Out of Range
72,HD 140283,Out of Range,279.8664912852796
73,II Pegasi,Out of Range,Out of Range
74,VY Canis Majoris,Out of Range,Out of Range
75,Pistol Star,Out of Range,Out of Range
76,S Doradus,Out of Range,Out of Range
77,UY Scuti,Out of Range,Out of Range
78,Barnard's Star,5.98,Out of Range
79,Luhman 16,6.52,Out of Range
80,Proxima Centauri,4.25,Out of Range
81,KIC 8462852,Out of Range,157.10819615734286
82,R136a1,Out of Range,Out of Range
83,Melnick 42,Out of Range,Out of Range
84,WR 102,Out of Range,Out of Range
85,VFTS 352,Out of Range,Out of Range
86,YBP 1194,Out of Range,282.6363157577489
87,Gliese 1214,47.5,Out of Range
88,NML Cygni,Out of Range,Out of Range
89,VB 10,18.72,Out of Range
90,WOH G64,Out of Range,Out of Range
91,TRAPPIST-1,39.6,Out of Range
92,2MASS J0523-1403,40.3,Out of Range
93,WISE 0855−0714,7.27,Out of Range
94,Icarus,Out of Range,Out of Range
95,SDSS J000013.54+255418.6 [de],46.1,Out of Range
96,2MASS J00040288-6410358,Out of Range,177.29553270309606
97,2MASS J00242463-0158201,37.7,Out of Range
